asset,signal_date,entry_date,exit_date,z_score,entry_price,exit_price,return,winner,year,event_id
NVDA,2021-01-06,2021-01-07,2021-01-13,-2.4765004858432733,12.928297476723126,13.463886222839356,0.0414276316800827,True,2021,1
AMD,2021-01-15,2021-01-19,2021-01-25,-1.988152621025184,89.64955755615233,94.03586725616456,0.0489272877589477,True,2021,2
AMD,2021-01-29,2021-02-01,2021-02-05,-2.000648481055561,86.91683183288573,87.81210152435303,0.0103003028595038,True,2021,3
SOXL,2021-04-30,2021-05-03,2021-05-07,-1.937872156500738,36.63245801109698,35.79357733154297,-0.0228999287817347,False,2021,4
SOXX,2021-04-30,2021-05-03,2021-05-07,-1.9564276333419837,136.12724204402477,134.97629301452636,-0.0084549500321631,False,2021,4
SMH,2021-04-30,2021-05-03,2021-05-07,-1.798332944076723,118.77244593820252,118.06018924713136,-0.0059968175736798,False,2021,4
AVGO,2021-05-04,2021-05-05,2021-05-11,-1.8639567415146536,40.7267600716998,39.71229644393921,-0.0249090186888085,False,2021,4
AVGO,2021-05-10,2021-05-11,2021-05-17,-1.8712871514930975,38.42914818465329,39.70056273651123,0.0330846404856217,True,2021,5
SOXL,2021-05-10,2021-05-11,2021-05-17,-2.0759206343230305,28.18329867265348,30.1429797706604,0.0695334183825833,True,2021,5
SMH,2021-05-10,2021-05-11,2021-05-17,-2.1595163434389937,109.73510059833043,111.82762799835206,0.019068897632682,True,2021,5
AMD,2021-05-10,2021-05-11,2021-05-17,-1.7782145306476431,73.64356969451903,74.57535152435302,0.01265258913574,True,2021,5
TSM,2021-05-10,2021-05-11,2021-05-17,-2.0903766087315816,100.86326898443984,100.72595544433594,-0.0013613830038076,False,2021,5
SOXX,2021-05-10,2021-05-11,2021-05-17,-2.1250626660018055,125.28911584871888,128.219140914917,0.0233861101688672,True,2021,5
SOXL,2021-07-16,2021-07-19,2021-07-23,-1.8581910634774763,34.19482547851832,40.271410079956055,0.1777047993783485,True,2021,6
SOXX,2021-07-16,2021-07-19,2021-07-23,-1.7563854333675455,134.97203423075376,142.41801681518555,0.0551668545774588,True,2021,6
NVDA,2021-07-16,2021-07-19,2021-07-23,-1.9300296848118672,17.87135433091136,19.47108902549744,0.0895139039249579,True,2021,6
TSM,2021-08-17,2021-08-18,2021-08-24,-2.739737985785698,103.10485266201624,103.23956023406984,0.0013065104946627,True,2021,7
AVGO,2021-08-18,2021-08-19,2021-08-25,-2.7778738595725043,42.49815092400831,43.964814571380614,0.0345112343827587,True,2021,7
SOXL,2021-08-18,2021-08-19,2021-08-25,-1.7912254801823977,37.07918750639517,43.402015811920165,0.1705222991856139,True,2021,7
NVDA,2021-08-18,2021-08-19,2021-08-25,-1.7795491644454873,19.446231139300178,22.114292404174805,0.1372019722362842,True,2021,7
AMD,2021-12-06,2021-12-07,2021-12-13,-1.9694629372167824,144.04389389038084,133.66620304870605,-0.0720453367469525,False,2021,8
AMD,2021-12-09,2021-12-10,2021-12-16,-1.908619249344081,141.43128327941892,138.50135939025878,-0.02071623633204,False,2021,8
AMD,2021-12-13,2021-12-14,2021-12-20,-1.9968618976346344,131.80166816711423,135.66420304870604,0.0293056600519989,True,2021,8
NVDA,2021-12-13,2021-12-14,2021-12-20,-2.304571617533866,27.639384982994603,27.604078342437745,-0.0012774032627201,False,2021,8
NVDA,2021-12-16,2021-12-17,2021-12-23,-1.7963181583172998,27.924768831129136,29.51710899925232,0.0570225013411076,True,2021,8
SOXL,2021-12-16,2021-12-17,2021-12-23,-1.8239824036376144,55.686777231531465,65.35153708648681,0.17355574043676,True,2021,8
SOXL,2022-08-22,2022-08-23,2022-08-29,-1.8369103066409056,16.61589007035135,14.611801222801208,-0.1206127892676751,False,2022,9
AMD,2022-08-26,2022-08-29,2022-09-02,-1.9005069663866183,90.14005305480956,80.15975786590576,-0.1107198725835594,False,2022,9
NVDA,2022-08-26,2022-08-29,2022-09-02,-2.2612588487077083,15.99162185901519,13.595607473373413,-0.149829354818757,False,2022,9
SOXL,2022-08-26,2022-08-29,2022-09-02,-2.0813667269168534,15.059369272726329,12.485565977096558,-0.1709104311753033,False,2022,9
AVGO,2022-08-26,2022-08-29,2022-09-02,-1.982871577635011,48.76570707534431,46.817004844665526,-0.0399605039596367,False,2022,9
SOXX,2022-08-26,2022-08-29,2022-09-02,-2.017927190322109,123.34380530835736,115.73132842254638,-0.0617175452531232,False,2022,9
SMH,2022-08-26,2022-08-29,2022-09-02,-2.101835526355872,107.84752281514538,101.25889974975586,-0.0610920204136971,False,2022,9
