,correlation_with_event_return
qqq_return_5d,0.45985461705875014
soxx_return_5d,0.3054266966032685
qqq_trend_20,0.24539528897058788
qqq_ma200_slope_20d,0.24158469000202815
qqq_trend_200,0.22383355506764469
soxx_return_1d,0.20294349972726083
qqq_return_1d,0.18812538739374687
qqq_trend_50,-0.009500516040096411
qqq_ma50_slope_10d,-0.042814121682342644
vix_change_1d,-0.05685929673939765
qqq_return_20d,-0.06588093160182196
soxx_trend_20,-0.09937750319964152
vix_level,-0.09972078196752952
unique_assets,-0.1259802185559756
trade_observations,-0.12972538948850415
soxx_trend_200,-0.15569071432321868
vix_change_20d,-0.18077644842024443
soxx_ma50_slope_10d,-0.2654450841846326
vix_vs_ma20,-0.2683498876906492
soxx_return_20d,-0.2758804465508088
vix_change_5d,-0.30195819992057943
soxx_trend_50,-0.40769883461025663
qqq_volatility_20d,-0.5016800557338753
