feature,split_value,low_events,low_avg_event_return,low_win_rate,high_events,high_avg_event_return,high_win_rate
trade_observations,2.0,20,0.017961846035682977,0.7,13,0.01725353876043734,0.6923076923076923
unique_assets,2.0,22,0.018439991100133904,0.6818181818181818,11,0.01616846549058174,0.7272727272727273
qqq_return_1d,-0.008721853765229048,17,0.015609645005230396,0.7058823529411765,16,0.019885559969401757,0.6875
qqq_return_5d,-0.007575619398231481,16,0.006873493222538411,0.625,16,0.027008087584915477,0.75
qqq_return_20d,0.01529459712257042,15,0.011607718371220984,0.6666666666666666,15,0.02058412844883306,0.6666666666666666
qqq_trend_20,0.0011676313839849017,15,0.0008621374201521774,0.5333333333333333,15,0.031329709399901866,0.8
qqq_trend_50,0.025856615643401692,15,0.021232809698899315,0.7333333333333333,15,0.010959037121154737,0.6
qqq_trend_200,0.11099135365932578,13,0.02477878152674231,0.6923076923076923,13,-0.001551309944241873,0.6153846153846154
qqq_ma50_slope_10d,0.014376321484605215,15,0.011360988449743174,0.6666666666666666,15,0.020830858370310876,0.6666666666666666
qqq_ma200_slope_20d,0.01778834746358693,13,0.02161998491906145,0.6923076923076923,13,0.001607486663438989,0.6153846153846154
qqq_volatility_20d,0.010636507881088126,15,0.03129285267279405,0.7333333333333333,15,0.0008989941472599971,0.6
soxx_return_1d,-0.018289027937608116,17,0.014568606183513029,0.6470588235294118,16,0.02099166371747646,0.75
soxx_return_5d,-0.02670809991202322,16,0.012470063490534946,0.75,16,0.02141151731691894,0.625
soxx_return_20d,0.009168726800060645,15,0.023124354857961747,0.7333333333333333,15,0.009067491962092302,0.6
soxx_trend_20,-0.009182578487688109,15,0.029024186321610794,0.7333333333333333,15,0.0031676604984432533,0.6
soxx_trend_50,0.020176087219751948,15,0.03509045714713048,0.8,15,-0.0028986103270764395,0.5333333333333333
soxx_trend_200,0.13776329374935548,13,0.023015407261887836,0.6923076923076923,13,0.0002120643206126045,0.6153846153846154
soxx_ma50_slope_10d,0.0217491686090443,15,0.029045395478735928,0.7333333333333333,15,0.003146451341318117,0.6
vix_level,17.780000686645508,17,0.022022274662583222,0.7647058823529411,16,0.013072140958464384,0.625
vix_change_1d,0.046881726993027506,17,0.018434439895267205,0.7647058823529411,16,0.01688421539873765,0.625
vix_change_5d,0.06521220144712925,16,0.026502524893283277,0.875,16,0.007379055914170611,0.5
vix_change_20d,-0.016300858994798717,15,0.027565366840674548,0.8,15,0.004626479979379503,0.5333333333333333
vix_vs_ma20,0.029224430735667606,15,0.02972767438793787,0.8666666666666667,15,0.0024641724321161833,0.4666666666666667
