event_id,event_start,event_end,event_duration_days,trade_observations,unique_assets,assets,avg_return,median_return,win_rate,best_return,worst_return,event_winner,qqq_return_1d,qqq_return_5d,qqq_return_20d,qqq_trend_20,qqq_trend_50,qqq_trend_200,qqq_ma50_slope_10d,qqq_ma200_slope_20d,qqq_volatility_20d,soxx_return_1d,soxx_return_5d,soxx_return_20d,soxx_trend_20,soxx_trend_50,soxx_trend_200,soxx_ma50_slope_10d,vix_level,vix_change_1d,vix_change_5d,vix_change_20d,vix_vs_ma20,year
1,2021-01-06,2021-01-06,0,1,1,NVDA,0.0414276316800827,0.0414276316800827,1.0,0.0414276316800827,0.0414276316800827,True,-0.013852369290046851,,,,,,,,,-0.0032440720600401818,,,,,,,25.06999969482422,-0.010655108766291721,,,,2021
2,2021-01-15,2021-01-15,0,1,1,AMD,0.0489272877589477,0.0489272877589477,1.0,0.0489272877589477,0.0489272877589477,True,-0.00792121184894723,-0.022474412435534608,,,,,,,,-0.020337579473928558,0.01833179113075256,,,,,,24.34000015258789,0.046881726993027506,0.1289425211274695,,,2021
3,2021-01-29,2021-01-29,0,1,1,AMD,0.0103003028595038,0.0103003028595038,1.0,0.0103003028595038,0.0103003028595038,True,-0.021038141552021772,-0.033372302105136975,,,,,,,,-0.017446003236189722,-0.062130122643612284,,,,,,33.09000015258789,0.0953327095463401,0.5102693009145001,,,2021
4,2021-04-30,2021-05-04,4,4,4,"AVGO,SMH,SOXL,SOXX",-0.015565178769096525,-0.0156774394069489,0.0,-0.0059968175736798,-0.0249090186888085,False,-0.006554669888835685,-0.004213094289259867,0.041346927017204216,0.0012634511711178131,0.04160929113014822,,0.003586814313052855,,0.009235623706687167,-0.027871811265123947,-0.02612211029533551,-0.039924720816731596,-0.03536003307591551,0.0008421967102469896,,0.004261375349186469,18.61000061035156,0.05678591512439657,0.07386039770805564,0.07386039770805564,0.06828165188270274,2021
5,2021-05-10,2021-05-10,0,6,6,"AMD,AVGO,SMH,SOXL,SOXX,TSM",0.02606071213361443,0.0212275039007746,0.8333333333333334,0.0695334183825833,-0.0013613830038076,True,-0.025254392624274202,-0.031024389275491115,-0.03240563244784289,-0.032743212432447266,2.255477283741314e-05,,0.005176454109826478,,0.01082735391818058,-0.044472843796860895,-0.03385697620563621,-0.08710388455619522,-0.05743122679288393,-0.04098956544571275,,-0.002533588296098621,19.65999984741211,0.1779508219483823,0.07373022505985327,0.16262566675427004,0.10340956540455037,2021
6,2021-07-16,2021-07-16,0,3,3,"NVDA,SOXL,SOXX",0.10746185262692172,0.0895139039249579,1.0,0.1777047993783485,0.0551668545774588,True,-0.008098986017487153,-0.009445599738965527,0.03670263298068965,0.006680019295934203,0.0480244542400019,,0.014299722336158283,,0.006018205511876248,-0.02173179314537088,-0.039500622030026356,-0.02730650262361045,-0.03473951214878801,-0.006619244501902322,,0.00796494483853194,18.450000762939453,0.08465611491366087,0.14029668819212127,0.03943666270081425,0.1040632272312314,2021
7,2021-08-17,2021-08-18,1,4,4,"AVGO,NVDA,SOXL,TSM",0.08588550407482987,0.08585660330952144,1.0,0.1705222991856139,0.0013065104946627,True,-0.008808214602895714,-0.003025918837827768,0.01934297801808027,-0.0024846632027045734,0.02296539581022694,,0.019787303024657366,,0.005720590335793463,-0.019361586447782297,-0.030754353978851845,0.029065490303713748,-0.020557222293784982,-0.0012321917065621912,,0.013269393127571805,17.90999984741211,0.1110421163144204,0.06670630558745194,-0.09224529838067741,0.030376235845138266,2021
8,2021-12-06,2021-12-16,10,6,3,"AMD,NVDA,SOXL",0.02764082091469232,0.0140141283946394,0.5,0.17355574043676,-0.0720453367469525,True,0.008013004715258676,-0.03375123146979808,-0.031108918646517547,-0.02106288169516557,0.01359186664437928,0.09147457947949222,0.010565720527980327,0.019256918001064882,0.011348685387719635,-0.0012772639496712035,-0.027678771634212063,0.014487970438896713,-0.005114279541590716,0.07480796331895578,0.16893895223868283,0.024744282186754507,27.18000030517578,-0.11379197138690988,0.1837979699031007,0.6492719089898389,0.27614621243670734,2021
9,2022-08-22,2022-08-29,7,8,7,"AMD,AVGO,NVDA,SMH,SOXL,SOXX,TSM",-0.09518892139954735,-0.0862187089183413,0.0,-0.0399605039596367,-0.1709104311753033,False,-0.02632708371532011,-0.05614608161036794,0.04692471329213466,-0.018178774094891548,0.04516405800493106,-0.07512237924880238,0.013223853922985862,-0.015211338925966711,0.01766522892051504,-0.03762607374751581,-0.07495527094907317,0.008472552849532411,-0.04342220116349915,0.02344136702004107,-0.1286640822247045,-0.005070035704024534,23.799999237060547,0.1553397473948257,0.192982372275049,0.018835557158076943,0.10973813948483602,2022
10,2022-12-09,2022-12-09,0,1,1,AMD,-0.04757348304449,-0.04757348304449,0.0,-0.04757348304449,-0.04757348304449,False,-0.006376760592422315,-0.0359255560250451,-0.002511057983966558,-0.013861729197096162,0.016516318083005688,-0.06996866317846917,0.0036367014385085827,-0.020790081625999046,0.01544509965730413,-0.009259357718962025,-0.01680277366504246,0.020575394364767963,-0.0020638639192431807,0.08637505566911097,-0.03069078912187362,0.02168029614968603,22.829999923706055,0.024226064872098885,0.197796461878194,-0.029749287824574533,0.03596141695346988,2022
