,losing_events_median,winning_events_median,difference
trade_observations,2.0,1.0,-1.0
unique_assets,2.0,1.0,-1.0
qqq_return_1d,-0.009315521261975823,-0.008721853765229048,0.0005936674967467748
qqq_return_5d,-0.019509479798886953,-0.006581979067888211,0.012927500730998742
qqq_return_20d,0.02219421354604456,0.01516713027626082,-0.00702708326978374
qqq_trend_20,-0.008091182273147812,0.004524170952089013,0.012615353225236825
qqq_trend_50,0.02742841543011676,0.02494540121992672,-0.0024830142101900377
qqq_trend_200,0.12730166375735785,0.11027189415226757,-0.017029769605090284
qqq_ma50_slope_10d,0.014063633616626547,0.014376321484605215,0.0003126878679786671
qqq_ma200_slope_20d,0.018685986701622248,0.017481424808274193,-0.001204561893348055
qqq_volatility_20d,0.011058002017058303,0.010370435352150494,-0.0006875666649078099
soxx_return_1d,-0.028249857072634277,-0.017612164959810994,0.010637692112823283
soxx_return_5d,-0.021462441980188984,-0.027486430581461496,-0.006023988601272512
soxx_return_20d,0.024954217163322356,0.0039975177713258425,-0.020956699391996514
soxx_trend_20,-0.004604158267981495,-0.012985628652663672,-0.008381470384682177
soxx_trend_50,0.03554161769089936,0.0061970725158595474,-0.029344545175039816
soxx_trend_200,0.19152119733454565,0.13715602978741415,-0.0543651675471315
soxx_ma50_slope_10d,0.02596025912999511,0.017334634062448395,-0.008625625067546716
vix_level,18.84500026702881,16.719999313354492,-2.1250009536743164
vix_change_1d,0.060617466634727335,0.041053426741707755,-0.01956403989301958
vix_change_5d,0.11044241966121204,0.039947853286076085,-0.07049456637513596
vix_change_20d,0.013699896287525881,-0.04585508107379194,-0.05955497736131782
vix_vs_ma20,0.06736973092368914,-0.0008969275883015659,-0.06826665851199071
