z_window,z_threshold,hold_days,trades,avg_return,median_return,win_rate,return_std,best_trade,worst_trade,quality_score,years_tested,positive_years
3,-1.0,1,136,0.006689564087749608,0.00821279003175801,0.5808823529411765,0.044704416733799004,0.16246733992245166,-0.1243318538934356,1.745086022503077,6,5
3,-1.0,2,136,0.010842942524020238,0.007500714787595952,0.5661764705882353,0.07376775428831935,0.2265133320427155,-0.14197843456253667,1.7141548327206084,6,5
3,-1.0,3,136,0.020809697471181554,0.009492997691195049,0.5367647058823529,0.0987619641282618,0.43702249685231354,-0.166363958150599,2.4572282653909006,6,5
3,-1.0,4,136,0.025541253473543638,0.02455943000455707,0.625,0.10490826374667346,0.4363945463471721,-0.25560552834458594,2.839239065054221,6,5
3,-1.0,5,136,0.034864637964585624,0.03420127139141205,0.6029411764705882,0.11543469273656465,0.4720729747758947,-0.22206496978717238,3.522234468395675,6,5
3,-1.0,6,136,0.050889133596265186,0.040908738499111696,0.6102941176470589,0.14462198747506272,0.49106728202478656,-0.29804456891324005,4.103554309421226,6,5
3,-1.0,7,136,0.04185480210871434,0.031170532557861508,0.5588235294117647,0.15025374082677687,0.560941472756465,-0.29325308870839106,3.2485492383919397,6,4
3,-1.1,1,96,0.005816749887609444,0.011444135979452486,0.5729166666666666,0.044691803861279265,0.11067965592648465,-0.1243318538934356,1.2752288298999703,6,4
3,-1.1,2,96,0.010418045973412206,0.007500714787595952,0.5416666666666666,0.07371722901342852,0.2265133320427155,-0.14197843456253667,1.3846910467602191,6,5
3,-1.1,3,96,0.02091600079264065,0.015403502250278978,0.5520833333333334,0.09830775187866021,0.43702249685231354,-0.166363958150599,2.084618086470124,6,5
3,-1.1,4,96,0.03145741564391274,0.04077897560315913,0.6979166666666666,0.10202991221530901,0.4363945463471721,-0.25560552834458594,3.020863794986966,6,6
3,-1.1,5,96,0.040618154648159724,0.05159417397137456,0.6458333333333334,0.10299050132939234,0.3283664007835865,-0.22206496978717238,3.8641914311394343,6,6
3,-1.1,6,96,0.05155600489436805,0.05294385991010375,0.6458333333333334,0.13669190656542293,0.442302495458885,-0.29804456891324005,3.695490342939694,6,6
3,-1.1,7,96,0.04067339241815104,0.03614797836393413,0.5729166666666666,0.14093352606226422,0.3830086074315793,-0.29325308870839106,2.8276893459244064,6,6
4,-1.0,1,115,0.005371142791791628,0.012015034173460615,0.591304347826087,0.048665037489427486,0.11067965592648465,-0.1243318538934356,1.183582557026898,6,5
4,-1.0,2,115,0.012873828973684982,0.002581541056415393,0.5217391304347826,0.0770761768228642,0.2302509872822065,-0.14197843456253667,1.7911686983276849,6,6
4,-1.0,3,115,0.01529470875684386,0.01407465087309423,0.5652173913043478,0.0955047691512984,0.43702249685231354,-0.166363958150599,1.717374746895346,6,4
4,-1.0,4,115,0.01793826524032141,0.016102398927202444,0.5652173913043478,0.10971937095968837,0.4363945463471721,-0.25560552834458594,1.7532589011443518,6,5
4,-1.0,5,114,0.025025184712528223,0.03167415488304859,0.5701754385964912,0.11597745922274888,0.3283664007835865,-0.2852178471674264,2.3038602262705137,6,5
4,-1.0,6,114,0.03523950059185451,0.029632527484021676,0.5789473684210527,0.1407530713887639,0.442302495458885,-0.29804456891324005,2.6731559153157503,6,5
4,-1.0,7,114,0.02504322234968862,0.017253857265844497,0.543859649122807,0.1449934344758271,0.3830086074315793,-0.3233408597392706,1.8441417411574113,6,5
4,-1.1,1,105,0.004101010032414732,0.012224235182121568,0.6095238095238096,0.04878582790203503,0.11067965592648465,-0.1243318538934356,0.8613740854668823,6,4
4,-1.1,2,105,0.012119446795854,0.00447821700802864,0.5428571428571428,0.07466525971224718,0.2265133320427155,-0.14197843456253667,1.6632551082844833,6,5
4,-1.1,3,105,0.01219452938202083,0.00866303529902579,0.5428571428571428,0.09699255643083103,0.43702249685231354,-0.166363958150599,1.2883126993433403,6,4
