z_window,z_threshold,hold_days,year,trades,avg_return,median_return,win_rate
3,-1.1,1,2021,21,-0.00786089422509543,-0.007724430762015566,0.42857142857142855
3,-1.1,1,2022,6,0.03971628758939425,0.05094797421347241,0.6666666666666666
3,-1.1,1,2023,21,0.008273764987091028,0.014730977601986828,0.5714285714285714
3,-1.1,1,2024,21,0.007186872066266823,0.013656950731239847,0.6190476190476191
3,-1.1,1,2025,21,0.008698613785703913,0.013943348763167274,0.6666666666666666
3,-1.1,1,2026,6,-0.00369253753652532,-0.00046593437446562636,0.5
3,-1.1,2,2021,21,0.0028655792719828005,0.007428173443635888,0.5238095238095238
3,-1.1,2,2022,6,0.0902678707655206,0.10178780532356713,1.0
3,-1.1,2,2023,21,0.013976717696852043,0.010322960083364308,0.5238095238095238
3,-1.1,2,2024,21,0.0035791395258765075,0.0009123307637148859,0.5238095238095238
3,-1.1,2,2025,21,-0.003931963465675682,-0.00684722242924507,0.42857142857142855
3,-1.1,2,2026,6,0.018707709207449852,0.047185430404016016,0.6666666666666666
3,-1.1,3,2021,21,0.000876786579027355,-0.01401938676151715,0.47619047619047616
3,-1.1,3,2022,6,0.08869657960125814,0.12724525208302162,0.8333333333333334
3,-1.1,3,2023,21,0.03295838047960411,-0.010508775829327188,0.47619047619047616
3,-1.1,3,2024,21,0.022098274709569026,0.02323476870194585,0.6190476190476191
3,-1.1,3,2025,21,0.016402997699877853,0.020987145283186237,0.6190476190476191
3,-1.1,3,2026,6,-0.007218105057281913,-0.038759018581173255,0.3333333333333333
3,-1.1,4,2021,21,0.022421136445795593,0.043377302220632075,0.6190476190476191
3,-1.1,4,2022,6,0.0665428913625047,0.11371333282474494,0.6666666666666666
3,-1.1,4,2023,21,0.0414616371105229,0.016102398927202444,0.6666666666666666
3,-1.1,4,2024,21,0.023088887343231435,0.02526511673986298,0.7619047619047619
3,-1.1,4,2025,21,0.02524849608339081,0.043487321576409776,0.7142857142857143
3,-1.1,4,2026,6,0.044005209499806554,0.04537390666991259,0.8333333333333334
3,-1.1,5,2021,21,0.022118626069122415,0.057051887006433155,0.5714285714285714
3,-1.1,5,2022,6,0.03625421924323805,0.07130195562229658,0.6666666666666666
3,-1.1,5,2023,21,0.03601482132081809,0.0015201592279754372,0.5238095238095238
3,-1.1,5,2024,21,0.03373323311424428,0.08054892417541515,0.6666666666666666
3,-1.1,5,2025,21,0.05209214402084641,0.0516957418845545,0.7142857142857143
3,-1.1,5,2026,6,0.10978036928970836,0.10581390725626583,1.0
3,-1.1,6,2021,21,0.0058710157269185525,0.002504775475627774,0.5238095238095238
3,-1.1,6,2022,6,0.04392938941844293,0.02296018830465596,0.6666666666666666
3,-1.1,6,2023,21,0.050578712859206086,0.023929053175226755,0.5714285714285714
3,-1.1,6,2024,21,0.05449530524567817,0.08382917062517103,0.6666666666666666
3,-1.1,6,2025,21,0.059158336201443784,0.07712358460309865,0.7619047619047619
3,-1.1,6,2026,6,0.18560489377508282,0.18296054939741668,0.8333333333333334
3,-1.1,7,2021,21,0.006033302273552746,-0.010681789710107359,0.47619047619047616
3,-1.1,7,2022,6,0.06073434400441263,0.03489969460685877,0.5
3,-1.1,7,2023,21,0.04454720251448371,-0.0034634738653360753,0.47619047619047616
3,-1.1,7,2024,21,0.02830531189383339,0.06656165971698247,0.6190476190476191
3,-1.1,7,2025,21,0.06599273057430993,0.08362704049162484,0.6666666666666666
3,-1.1,7,2026,6,0.08296501928937476,0.06745226405278104,0.8333333333333334
3,-1.0,1,2021,30,-0.0066708921057734814,-0.0098729793464431,0.43333333333333335
3,-1.0,1,2022,10,0.011956918790350279,-0.00019365036089197263,0.5
3,-1.0,1,2023,32,0.007314235467418263,0.0081526559915861,0.59375
3,-1.0,1,2024,29,0.00498744161912565,0.007025539420228988,0.6206896551724138
3,-1.0,1,2025,27,0.015461667722394146,0.01782601388358307,0.7037037037037037
3,-1.0,1,2026,8,0.02427274009837227,0.013902521359955844,0.625
3,-1.0,2,2021,30,0.000954023501640607,0.007410736842102805,0.5333333333333333
3,-1.0,2,2022,10,0.056220421217173855,0.06414980911218915,0.8
3,-1.0,2,2023,32,0.011549058994214517,0.0065241465115347674,0.5625
3,-1.0,2,2024,29,-0.004540413241245158,-0.0072969726455894834,0.4827586206896552
3,-1.0,2,2025,27,0.009191886041451965,0.007010641359759262,0.5555555555555556
3,-1.0,2,2026,8,0.0497170548884797,0.06735384461677796,0.75
3,-1.0,3,2021,30,-0.00887497995891923,-0.01456631237944711,0.4
3,-1.0,3,2022,10,0.046281891522535076,0.0673943754710723,0.7
3,-1.0,3,2023,32,0.03317773570702272,0.008461526852501122,0.53125
3,-1.0,3,2024,29,0.01393010620396667,0.0029737637690494534,0.5172413793103449
3,-1.0,3,2025,27,0.0259885071188465,0.024768330384266513,0.6666666666666666
3,-1.0,3,2026,8,0.058274878109287734,0.04736344593213487,0.5
3,-1.0,4,2021,30,-0.0002264258215058712,-0.012320233445557938,0.4666666666666667
3,-1.0,4,2022,10,0.029100643678596706,0.03608284589305821,0.5
3,-1.0,4,2023,32,0.033041300224461806,0.019697458963751968,0.625
3,-1.0,4,2024,29,0.012760543065113853,0.02294131219155382,0.6551724137931034
3,-1.0,4,2025,27,0.04601109494823673,0.04585942504997731,0.7407407407407407
3,-1.0,4,2026,8,0.06496498632345908,0.07157908941097046,0.875
3,-1.0,5,2021,30,-0.0010820416090880174,-0.011188554205737222,0.4666666666666667
3,-1.0,5,2022,10,0.012312660506090266,0.007874002683074921,0.5
3,-1.0,5,2023,32,0.03740033907643896,0.013807974885362784,0.5625
3,-1.0,5,2024,29,0.019516211512696266,0.025563094366196193,0.5862068965517241
3,-1.0,5,2025,27,0.06967501255613219,0.05177875738071491,0.7407407407407407
3,-1.0,5,2026,8,0.1258648853831969,0.12327698242722651,1.0
3,-1.0,6,2021,30,-0.014395591518026333,-0.015699517772968852,0.43333333333333335
3,-1.0,6,2022,10,0.023950133563030874,0.017685579286919606,0.6
3,-1.0,6,2023,32,0.05938618991220282,0.029550270453945315,0.5625
3,-1.0,6,2024,29,0.04816268353830278,0.062370042327470676,0.6206896551724138
3,-1.0,6,2025,27,0.07653395249650966,0.08815228847903889,0.7777777777777778
3,-1.0,6,2026,8,0.2187244952244395,0.23895829463748308,0.875
3,-1.0,7,2021,30,-0.003912081799398685,-0.01964016299788912,0.43333333333333335
3,-1.0,7,2022,10,-0.0004958167358236731,-0.012874699112195853,0.4
3,-1.0,7,2023,32,0.05902054166249049,0.038595272629121435,0.53125
3,-1.0,7,2024,29,0.018011790965613464,0.05145301401301894,0.5517241379310345
3,-1.0,7,2025,27,0.08196413511762712,0.08362704049162484,0.7037037037037037
3,-1.0,7,2026,8,0.14881784859336622,0.10179506835874774,0.875
4,-1.4,1,2021,7,-0.009058760203626995,0.001803779849526066,0.5714285714285714
4,-1.4,1,2022,4,0.04723464750717507,0.04931510861747912,0.75
4,-1.4,1,2023,9,-0.007827326798376574,-0.005589378698569569,0.3333333333333333
4,-1.4,1,2024,5,-0.009627782522516549,-0.01969000521255826,0.4
4,-1.4,1,2025,9,0.0260585624489676,0.04649296218403376,0.7777777777777778
4,-1.4,1,2026,1,0.001887521536889647,0.001887521536889647,1.0
4,-1.4,2,2021,7,6.115330940557686e-05,-0.018346591486168795,0.42857142857142855
4,-1.4,2,2022,4,0.06688172034469325,0.07159242748626204,0.75
4,-1.4,2,2023,9,0.002710537169000814,-0.007859911770405348,0.3333333333333333
4,-1.4,2,2024,5,0.003955487949475867,-0.005478350709307578,0.4
4,-1.4,2,2025,9,0.020285457427572706,0.026269957505992814,0.5555555555555556
4,-1.4,2,2026,1,-0.04435931861327369,-0.04435931861327369,0.0
4,-1.4,3,2021,7,0.03790210928681002,0.037869094193039965,0.7142857142857143
4,-1.4,3,2022,4,0.06166878984128499,0.12724525208302162,0.75
4,-1.4,3,2023,9,0.05299401033169161,0.042694573466460994,0.6666666666666666
4,-1.4,3,2024,5,0.05544594282451909,0.055334052177110626,0.8
4,-1.4,3,2025,9,0.016621871890798,0.016821225975117482,0.6666666666666666
4,-1.4,3,2026,1,-0.14400788611058224,-0.14400788611058224,0.0
4,-1.4,4,2021,7,0.07541551238726206,0.09182244554258467,0.8571428571428571
