signal_date,entry_date,day,cumulative_return
2021-01-27,2021-01-28,1,0.001803779849526066
2021-01-27,2021-01-28,2,-0.04762016599471708
2021-01-27,2021-01-28,3,0.06493337593939019
2021-01-27,2021-01-28,4,0.11340686775746711
2021-01-27,2021-01-28,5,0.04453618837950546
2021-01-27,2021-01-28,6,0.0703507619983732
2021-01-27,2021-01-28,7,0.04710254884359655
2021-01-27,2021-01-28,8,0.1443536014985065
2021-01-27,2021-01-28,9,0.12977354252170858
2021-01-27,2021-01-28,10,0.14045678485570612
2021-04-19,2021-04-20,1,-0.03525618943225639
2021-04-19,2021-04-20,2,0.042516644016126426
2021-04-19,2021-04-20,3,-0.02834907067436132
2021-04-19,2021-04-20,4,0.027166697676802354
2021-04-19,2021-04-20,5,0.0798681566374615
2021-04-19,2021-04-20,6,0.05761078976998846
2021-04-19,2021-04-20,7,0.008490840776050002
2021-04-19,2021-04-20,8,0.031260211174785946
2021-04-19,2021-04-20,9,-0.05597865219687337
2021-04-19,2021-04-20,10,-0.08898115250501715
2021-04-30,2021-05-03,1,-0.057824745284545176
2021-04-30,2021-05-03,2,-0.10121606102505287
2021-04-30,2021-05-03,3,-0.08587066769638707
2021-04-30,2021-05-03,4,-0.06338089516211687
2021-04-30,2021-05-03,5,-0.022899720721300088
2021-04-30,2021-05-03,6,-0.15519078689577992
2021-04-30,2021-05-03,7,-0.15042833556135515
2021-04-30,2021-05-03,8,-0.25573188275514547
2021-04-30,2021-05-03,9,-0.22398196445513996
2021-04-30,2021-05-03,10,-0.15519078689577992
2021-06-18,2021-06-21,1,0.013151421326983215
2021-06-18,2021-06-21,2,0.02590913890544644
2021-06-18,2021-06-21,3,0.037869094193039965
2021-06-18,2021-06-21,4,0.09182244554258467
2021-06-18,2021-06-21,5,0.08065973003977622
2021-06-18,2021-06-21,6,0.16012799404016254
2021-06-18,2021-06-21,7,0.18643993747335452
2021-06-18,2021-06-21,8,0.18378215802042086
2021-06-18,2021-06-21,9,0.13142359974409668
2021-06-18,2021-06-21,10,0.1513568933904912
2021-07-08,2021-07-09,1,0.037494863035694825
2021-07-08,2021-07-09,2,0.07624245685672837
2021-07-08,2021-07-09,3,0.05860702602010681
2021-07-08,2021-07-09,4,0.047181663829937825
2021-07-08,2021-07-09,5,-0.02087527030204739
2021-07-08,2021-07-09,6,-0.08694509575394571
2021-07-08,2021-07-09,7,-0.0849580847348742
2021-07-08,2021-07-09,8,-0.04770040736459036
2021-07-08,2021-07-09,9,0.039481971715781716
2021-07-08,2021-07-09,10,0.011911388122787026
2021-07-15,2021-07-16,1,-0.08352353509403143
2021-07-15,2021-07-16,2,-0.08152907799619502
2021-07-15,2021-07-16,3,-0.04413178207441215
2021-07-15,2021-07-16,4,0.043377302220632075
2021-07-15,2021-07-16,5,0.015703401265500627
2021-07-15,2021-07-16,6,0.03589784303627552
2021-07-15,2021-07-16,7,0.033404722650485885
2021-07-15,2021-07-16,8,-0.023937242276649284
2021-07-15,2021-07-16,9,0.026673209384564966
2021-07-15,2021-07-16,10,0.08326752247422853
2021-07-27,2021-07-28,1,0.03939609586982229
2021-07-27,2021-07-28,2,0.09669174509504375
2021-07-27,2021-07-28,3,0.12041737629747518
2021-07-27,2021-07-28,4,0.14111444634223003
2021-07-27,2021-07-28,5,0.16029738467080445
2021-07-27,2021-07-28,6,0.20169142551854202
2021-07-27,2021-07-28,7,0.19058547729187225
