z_window,hold_days,parameter_tests,avg_trades,avg_trade_return,median_of_median_returns,avg_win_rate,avg_quality_score
5,5,3,36.666666666666664,0.04708279759691101,0.05177875738071491,0.7532941943900848,4.942047905979528
5,3,3,36.666666666666664,0.021920592653851823,0.020224592620532222,0.5352250489236791,1.1694355913952625
20,1,4,15.0,0.011509206592063904,0.0069380858937413414,0.6162146676852559,0.9344211253207995
10,3,4,26.25,0.016485532642602184,0.01178390725644285,0.6011119723103926,0.918340684407855
10,5,4,26.25,0.026317415485995567,0.04585960190754562,0.6983331692953749,0.8950668992519633
20,3,4,15.0,0.015354345176423005,0.017257280074889803,0.6844919786096257,0.5752826807071192
20,5,4,15.0,0.020144299591379956,0.05149253475111659,0.6292016806722689,0.5406038733648656
5,1,3,36.666666666666664,0.002804162428068567,0.002554610193488571,0.5626223091976517,0.48611864277832123
5,2,3,36.666666666666664,-4.302660863753256e-05,-0.007859840463327217,0.46438356164383565,0.22287393732591224
10,2,4,26.25,-8.649217506832392e-05,0.007584505267153208,0.5184614469788309,-0.005281004378397094
20,2,4,15.0,-0.003184188785835557,-0.0020208748046420533,0.48949579831932777,-0.25672310037611634
10,1,4,26.25,-0.003503953516242868,0.0021791950215072076,0.5231170492852046,-0.27689843475693354
