z_window,z_threshold,hold_days,signal_date,entry_date,exit_date,signal_z_score,entry_price,exit_price,return,winner,year
5,-1.25,1,2021-01-26,2021-01-27,2021-01-27,-1.3678398818143918,35.78824894463621,32.110191650390625,-0.10277276487976472,False,2021
5,-1.25,1,2021-02-18,2021-02-19,2021-02-19,-1.2705629499690398,43.338726512614365,44.37014004135132,0.023798888701465293,True,2021
5,-1.25,1,2021-02-22,2021-02-23,2021-02-23,-1.3570996793117178,37.370562633059265,38.73167251968384,0.03642198004855546,True,2021
5,-1.25,1,2021-04-14,2021-04-15,2021-04-15,-1.397526545890668,41.12895574704121,42.1323173904419,0.024395504947213986,True,2021
5,-1.25,1,2021-04-19,2021-04-20,2021-04-20,-1.5301677688380682,37.885258638039126,36.549568782806396,-0.03525618943225628,False,2021
5,-1.25,1,2021-04-30,2021-05-03,2021-05-03,-1.5340653337715822,36.63245801109698,34.5141954574585,-0.057824745284545176,False,2021
5,-1.25,1,2021-05-10,2021-05-11,2021-05-11,-1.424801520038772,28.183293496078416,31.121896419525147,0.1042675485693545,True,2021
5,-1.25,1,2021-06-18,2021-06-21,2021-06-21,-1.5633812161757379,36.467358586928334,36.946956184387204,0.013151421326983215,True,2021
5,-1.25,1,2021-07-07,2021-07-08,2021-07-08,-1.4206403911186063,37.438525441748055,38.55587269592285,0.029844852087278717,True,2021
5,-1.25,1,2021-07-15,2021-07-16,2021-07-16,-1.6459661713140536,38.87585504510513,35.628806201934815,-0.08352353509403143,False,2021
5,-1.25,1,2021-07-27,2021-07-28,2021-07-28,-1.657992168978995,38.39998143666492,39.912790786743166,0.03939609586982207,True,2021
5,-1.25,1,2021-08-10,2021-08-11,2021-08-11,-1.597148484343668,43.7608262254665,42.81077643585205,-0.02171005146748295,False,2021
5,-1.25,1,2021-08-12,2021-08-13,2021-08-13,-1.3516599796489477,41.27464028514248,42.142016086578366,0.021014739206536737,True,2021
5,-1.25,1,2021-08-17,2021-08-18,2021-08-18,-1.6303527429974147,39.12835955420487,37.470338985443114,-0.042373883997484874,False,2021
5,-1.25,1,2021-09-08,2021-09-09,2021-09-09,-1.4875212964699196,43.615154285323946,44.14831618881225,0.012224235182121346,True,2021
5,-1.25,1,2021-09-17,2021-09-20,2021-09-20,-1.4575569163394086,42.48860320187897,41.967557693481446,-0.012263182809796103,False,2021
5,-1.25,1,2021-11-26,2021-11-29,2021-11-29,-1.4945150665103286,62.10619762274401,66.3048674697876,0.06760468371526862,True,2021
5,-1.25,1,2021-12-13,2021-12-14,2021-12-14,-1.3928489548196787,58.27007997904644,59.62688264465332,0.023284722898866406,True,2021
