strategy,signal_date,entry_date,exit_date,position_fraction,capital_before,invested_capital,cash_held,position_return,account_return,capital_after,exit_reason
25% Allocation,2021-04-30,2021-05-03,2021-05-04,0.25,10000.0,2500.0,7500.0,-0.12087999999999999,-0.030220000000000025,9697.8,stop
25% Allocation,2021-05-10,2021-05-11,2021-05-17,0.25,9697.8,2424.45,7273.349999999999,0.06953342050918354,0.01738335512729594,9866.380301353489,time_exit
25% Allocation,2021-07-16,2021-07-19,2021-07-23,0.25,9866.380301353489,2466.595075338372,7399.785226015117,0.1777047993783485,0.04442619984458718,10304.706084364117,time_exit
25% Allocation,2021-08-18,2021-08-19,2021-08-25,0.25,10304.706084364117,2576.1765210910294,7728.529563273089,0.1705221696965895,0.042630542424147544,10744.001294261972,time_exit
25% Allocation,2021-12-16,2021-12-17,2021-12-23,0.25,10744.001294261972,2686.000323565493,8058.000970696479,0.17355589695900497,0.04338897423975108,11210.172489650558,time_exit
25% Allocation,2022-08-22,2022-08-23,2022-08-29,0.25,11210.172489650558,2802.5431224126396,8407.629367237918,-0.1208800000000001,-0.030219999999999914,10871.401077013319,stop
25% Allocation,2023-04-25,2023-04-26,2023-05-02,0.25,10871.401077013319,2717.8502692533298,8153.55080775999,0.05149252952442196,0.012873132381105545,11011.350062245805,time_exit
25% Allocation,2024-07-19,2024-07-22,2024-07-24,0.25,11011.350062245805,2752.8375155614513,8258.512546684353,-0.12087999999999999,-0.030219999999999914,10678.587063364737,stop
25% Allocation,2024-10-31,2024-11-01,2024-11-07,0.25,10678.587063364737,2669.6467658411843,8008.940297523553,0.17750567337330847,0.04437641834332706,11152.464510204252,time_exit
25% Allocation,2024-11-15,2024-11-18,2024-11-22,0.25,11152.464510204252,2788.116127551063,8364.348382653188,0.06490920459325333,0.01622730114831339,11333.438910357214,time_exit
25% Allocation,2024-12-19,2024-12-20,2024-12-26,0.25,11333.438910357214,2833.3597275893035,8500.07918276791,0.19879999999999987,0.04970000000000008,11896.710824201968,target
25% Allocation,2025-07-31,2025-08-01,2025-08-07,0.25,11896.710824201968,2974.177706050492,8922.533118151476,0.058102214747207226,0.014525553686801862,12069.51713597527,time_exit
50% Allocation,2021-04-30,2021-05-03,2021-05-04,0.5,10000.0,5000.0,5000.0,-0.12087999999999999,-0.06043999999999994,9395.6,stop
50% Allocation,2021-05-10,2021-05-11,2021-05-17,0.5,9395.6,4697.8,4697.8,0.06953342050918354,0.03476671025459166,9722.254102868043,time_exit
50% Allocation,2021-07-16,2021-07-19,2021-07-23,0.5,9722.254102868043,4861.127051434021,4861.127051434021,0.1777047993783485,0.08885239968917436,10586.099710295788,time_exit
50% Allocation,2021-08-18,2021-08-19,2021-08-25,0.5,10586.099710295788,5293.049855147894,5293.049855147894,0.1705221696965895,0.08526108484829487,11488.682055907826,time_exit
50% Allocation,2021-12-16,2021-12-17,2021-12-23,0.5,11488.682055907826,5744.341027953913,5744.341027953913,0.17355589695900497,0.0867779484795026,12485.646315452781,time_exit
50% Allocation,2022-08-22,2022-08-23,2022-08-29,0.5,12485.646315452781,6242.8231577263905,6242.8231577263905,-0.1208800000000001,-0.06044000000000005,11731.013852146814,stop
50% Allocation,2023-04-25,2023-04-26,2023-05-02,0.5,11731.013852146814,5865.506926073407,5865.506926073407,0.05149252952442196,0.02574626476221109,12033.043640713351,time_exit
