strategy,signal_date,entry_date,exit_date,z_score,qqq_above_ma20,qqq_above_ma50,qqq_return_5d,entry_price,exit_price,return,capital_before,capital_after,exit_reason
Current MA50,2021-04-30,2021-05-03,2021-05-04,-1.937871237623348,True,True,-0.004213094289259867,36.63244992155621,32.204319375038494,-0.12087999999999999,10000.0,8791.2,stop
Current MA50,2021-05-10,2021-05-11,2021-05-17,-2.0759185873307096,False,True,-0.031024389275491115,28.183300398178496,30.142981676101684,0.06953342050918354,8791.2,9402.482206380335,time_exit
Current MA50,2021-07-16,2021-07-19,2021-07-23,-1.8581934293991849,True,True,-0.009445599738965527,34.19482547851832,40.271410079956055,0.1777047993783485,9402.482206380335,11073.348420523644,time_exit
Current MA50,2021-08-18,2021-08-19,2021-08-25,-1.7912264386155408,False,True,-0.010922697639440537,37.07919486399215,43.40201962280273,0.1705221696965895,11073.348420523644,12961.599818997638,time_exit
Current MA50,2021-12-16,2021-12-17,2021-12-23,-1.823981078872049,False,True,-0.017499161938927754,55.68676980434422,65.35153708648681,0.17355589695900497,12961.599818997638,15211.16190160745,time_exit
Current MA50,2022-08-22,2022-08-23,2022-08-29,-1.8369111918635432,False,True,-0.05614608161036794,16.615895715491366,14.607366241402769,-0.1208800000000001,15211.16190160745,13372.43665094114,stop
Current MA50,2023-04-25,2023-04-26,2023-05-02,-2.270155142466491,False,True,-0.02781766877499814,13.36081544464878,14.04879762840271,0.05149252952442196,13372.43665094114,14061.017240003188,time_exit
Current MA50,2024-07-19,2024-07-22,2024-07-24,-1.987863946540271,False,True,-0.039569843715392405,49.54495919421819,43.55596452682109,-0.12087999999999999,14061.017240003188,12361.321476031602,stop
Current MA50,2024-10-31,2024-11-01,2024-11-07,-2.467441973371459,False,True,-0.017204355419320083,30.434150582705534,35.83638497543335,0.17750567337330847,12361.321476031602,14555.526168418532,time_exit
Current MA50,2024-11-15,2024-11-18,2024-11-22,-2.2377183883416953,False,True,-0.034173562663640245,26.47741390963322,28.196041786193852,0.06490920459325333,14555.526168418532,15500.313794446864,time_exit
Current MA50,2024-12-19,2024-12-20,2024-12-26,-1.80504257149592,False,True,-0.023418796380151874,25.604750189263072,30.69497452688857,0.19879999999999987,15500.313794446864,18581.7761767829,target
Current MA50,2025-07-31,2025-08-01,2025-08-07,-1.953585939832439,True,True,0.0,23.596724056565943,24.96774598503113,0.058102214747207226,18581.7761767829,19661.418526590878,time_exit
MA20 + MA50,2021-04-30,2021-05-03,2021-05-04,-1.937871237623348,True,True,-0.004213094289259867,36.63244992155621,32.204319375038494,-0.12087999999999999,10000.0,8791.2,stop
MA20 + MA50,2021-07-16,2021-07-19,2021-07-23,-1.8581934293991849,True,True,-0.009445599738965527,34.19482547851832,40.271410079956055,0.1777047993783485,8791.2,10353.438432294937,time_exit
MA20 + MA50,2025-07-31,2025-08-01,2025-08-07,-1.953585939832439,True,True,0.0,23.596724056565943,24.96774598503113,0.058102214747207226,10353.438432294937,10954.996135460126,time_exit
