signal_date,entry_date,exit_date,z_window,z_threshold,hold_days,signal_z,return,walk_forward_test_year,selected_window,selected_threshold,selected_hold
2023-04-25,2023-04-26,2023-05-02,6,-1.7,5,-1.831093268277339,0.05149252952442196,2023,6,-1.7,5
2023-06-21,2023-06-22,2023-06-28,6,-1.7,5,-1.760585101219705,0.06250471193475371,2023,6,-1.7,5
2023-07-20,2023-07-21,2023-07-27,6,-1.7,5,-1.7809196334919113,0.055863027543202826,2023,6,-1.7,5
2024-01-02,2024-01-03,2024-01-09,6,-1.7,5,-1.853887537936425,0.06668738233279159,2024,6,-1.7,5
2024-07-17,2024-07-18,2024-07-24,6,-1.7,5,-1.8935428851341054,-0.20948516392140093,2024,6,-1.7,5
2024-10-31,2024-11-01,2024-11-07,6,-1.7,5,-1.712091957758908,0.1775057469075101,2024,6,-1.7,5
2024-12-10,2024-12-11,2024-12-17,6,-1.7,5,-1.7676398508196314,0.09663960010695316,2024,6,-1.7,5
2025-05-21,2025-05-22,2025-05-28,6,-1.7,4,-1.7760509202521433,0.002118783395274715,2025,6,-1.7,4
2025-07-22,2025-07-23,2025-07-28,6,-1.7,4,-1.9081592654096613,0.04585942504997731,2025,6,-1.7,4
2025-08-29,2025-09-02,2025-09-05,6,-1.7,4,-1.7454166722769935,0.09622729166986299,2025,6,-1.7,4
2025-11-04,2025-11-05,2025-11-10,6,-1.7,4,-1.891263031869876,0.03818064898568618,2025,6,-1.7,4
2025-12-12,2025-12-15,2025-12-18,6,-1.7,4,-1.8948282944366497,-0.10686804998402133,2025,6,-1.7,4
2026-05-15,2026-05-18,2026-05-21,6,-1.1,4,-1.528241582252991,0.02939334464240262,2026,6,-1.1,4
2026-06-05,2026-06-08,2026-06-11,6,-1.1,4,-1.6017508057865015,0.06135446869742256,2026,6,-1.1,4
